,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month,License Type,Installation Date,County
152,515625,26.6,0,0.0,514.6,512.47,31,31,100.0,1401/01,کشاورزی,1400/10/29,مشهد
153,518127,,0,0.0,0.1,0.459,31,31,100.0,1401/01,خدمات,1400/06/03,مشهد
154,527290,,0,0.0,0.0,0.0,31,31,100.0,1401/01,خدمات,1400/03/31,مشهد
155,209290,0.1,0,0.0,540.1,194.5,31,31,100.0,1401/01,کشاورزی,1399/07/12,درگز
156,100362,,0,0.0,0.0,0.0,31,31,100.0,1401/01,,,
157,517809,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1401/09/01,مشهد
158,514431,,0,0.0,0.1,7.998,31,31,100.0,1401/01,کشاورزی,1401/01/30,مشهد
159,517810,45.03,0,0.0,200.2,32967.73,12,31,38.71,1401/01,کشاورزی,1401/01/24,مشهد
160,805031,0.1,0,0.0,687.3,247.7,31,31,100.0,1401/01,کشاورزی,1399/11/16,نیشابور
161,518452,13.91,0,0.0,345.7,10820.5,31,31,100.0,1401/01,کشاورزی,1401/01/22,مشهد
162,602588,,0,0.0,0.0,0.0,31,31,100.0,1401/01,,,
163,514700,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1401/02/04,مشهد
164,515977,1.9,0,0.0,136.1,3.12,31,31,100.0,1401/01,,,
165,518208,21.12,0,0.0,84.8,6076.386,31,31,100.0,1401/01,کشاورزی,1399/12/27,مشهد
166,515771,,0,0.0,0.0,0.276,31,31,100.0,1401/01,صنعتی,1399/03/13,مشهد
167,618331,3.42,0,0.0,574.7,739.318,31,31,100.0,1401/01,شرب و بهداشت دام,1400/09/07,کاشمر
168,540710,6.55,0,0.0,362.0,242.182,31,31,100.0,1401/01,صنعتی,1399/07/13,مشهد
169,517373,4.1,0,0.0,2.6,38.797,15,31,48.39,1401/01,صنعتی,1401/01/31,مشهد
170,615183,,0,0.0,0.0,0.0,31,31,100.0,1401/01,شرب و بهداشت دام,1400/05/18,تربت حیدریه
171,516050,2.69,0,0.0,605.0,649.405,31,31,100.0,1401/01,صنعتی,1400/09/18,مشهد
172,602980,,0,0.0,0.0,0.0,31,31,100.0,1401/01,,,
173,608960,,0,0.0,0.0,0.0,15,31,48.39,1401/01,صنعتی,1401/02/20,کاشمر
174,925247,,0,0.0,0.0,0.0,31,31,100.0,1401/01,کشاورزی,1400/03/24,باخرز
175,201250,,0,0.0,0.0,0.0,31,31,100.0,1401/01,,,
176,609042,,0,0.0,0.0,0.0,6,31,19.35,1401/02,کشاورزی,1401/10/07,کاشمر
177,518893,1.62,0,0.0,657.9,87.106,31,31,100.0,1401/02,سایر,1400/08/26,مشهد
178,805027,0.2,0,0.0,608.6,438.1,31,31,100.0,1401/02,کشاورزی,1400/08/29,نیشابور
